MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Temascaltepec,San Pedro Tenayac,Cueva  el Uno,11/06/14,6,6,18.035456,-100.209547
Tlatlaya,Nuevo Copaltepec,La alcantarilla,12/05/05,3,2,18.404167,-100.268833
Tlatlaya,Nuevo Copaltepec,La alcantarilla,12/05/07,30,29,18.404167,-100.268833
Tlatlaya,Nuevo Copaltepec,La alcantarilla,12/03/09,0,0,18.404167,-100.268833
Tlatlaya,Nuevo Copaltepec,La alcantarilla,10/08/10,4,3,18.404167,-100.268833
Tlatlaya,Nuevo Copaltepec,La alcantarilla,16/05/11,4,3,18.404167,-100.268833
Tlatlaya,San Antonio del Rosario,Cueva los sifones,11/05/11,30,29,18.412639,-100.304889
Tlatlaya,San Antonio del Rosario,Cueva los sifones,13/05/11,40,39,18.412639,-100.304889
Tlatlaya,San Antonio del Rosario,Cueva los sifones,13/06/11,12,12,18.412639,-100.304889
Tlatlaya,San Antonio del Rosario,Cueva los sifones,14/06/11,16,16,18.412639,-100.304889
Tlatlaya,San Antonio del Rosario,Cueva los sifones,26/04/12,20,20,18.412639,-100.304889
Tlatlaya,El Naranjito de Nanchichitla,Cueva de las abejas,30/08/13,12,12,18.534514,-100.300750
Tlatlaya,Pie del cerro San Vicente,Cueva de la ushilera,29/08/14,12,12,18.543194,-100.383336
Tlatlaya,Juntas de Santa Ana Zicatecoyan,Alcantarilla,19/05/05,6,5,18.571667,-100.220000
Tlatlaya,Juntas de Santa Ana Zicatecoyan,Alcantarilla,21/08/07,4,3,18.571667,-100.220000
Tlatlaya,Juntas de Santa Ana Zicatecoyan,Alcantarilla,22/03/08,0,0,18.571667,-100.220000
Tlatlaya,Juntas de Santa Ana Zicatecoyan,Alcantarilla,16/04/09,1,1,18.571667,-100.220000
Tlatlaya,Santa Ana Zicatecoyan,La cueva de cuatepquito,20/10/05,0,0,18.572778,-100.216678
Tlatlaya,Santa Ana Zicatecoyan,La cueva de cuatepquito,06/07/07,10,9,18.572778,-100.216678
Tlatlaya,Santa Ana Zicatecoyan,La cueva de cuatepquito,09/06/09,7,7,18.572778,-100.216678
Tlatlaya,Mayaltepec,Cueva el Pabrio,12/02/14,15,15,18.583544,-100.368589
Tlatlaya,Colonia Benito Juarez,Las golondrinas,22/09/12,6,5,18.607444,-100.184639
Tlatlaya,El Guitarratel,Mina la esmeralda,15/09/05,4,3,18.635381,-100.318653
Tlatlaya,El Guitarratel,Mina la esmeralda,25/09/07,3,3,18.635381,-100.318653
Tlatlaya,El Guitarratel,Mina la esmeralda,25/05/08,15,14,18.635381,-100.318653
Amatepec,Los Jazmines,El jacual,12/03/12,0,0,18.683369,-100.321417
Tejupilco,Monte de Dios,Mina Hacienda Vieja,24/04/14,13,13,18.684531,-100.201811
Amatepec,Santiago,Cueva del miedo,20/09/14,9,9,18.684875,-100.235033
Amatepec,Santiago,La mina del miedo,26/05/05,10,9,18.691694,-100.242861
Amatepec,Santiago,La mina del miedo,16/05/07,9,8,18.691694,-100.242861
Amatepec,Santiago,La mina del miedo,17/09/08,8,7,18.691694,-100.242861
Amatepec,Santiago,La mina del miedo,03/12/08,6,6,18.691694,-100.242861
Amatepec,Santiago,La mina del miedo,10/11/09,3,3,18.691694,-100.242861
Amatepec,Santiago,La mina del miedo,09/07/12,6,4,18.691694,-100.242861
Tejupilco,El C·rmen de ixtapan,Mina el bonete,27/09/13,7,7,18.701931,-100.217461
Tejupilco,El C·rmen de ixtapan,Mina el bonete,28/09/13,7,7,18.701931,-100.217461
Amatepec,Dolores (Hacienda Dolores),PeÒa colorada,14/03/12,0,0,18.714667,-100.272306
Amatepec,San Marcos,Cueva del santo,20/04/13,9,9,18.734275,-100.284731
Amatepec,Pena Blanca,El santo,21/09/10,4,3,18.743306,-100.283417
Amatepec,Pena Blanca,El santo,19/07/12,5,3,18.743306,-100.283417
Amatepec,San Martin,Cueva la Parota,29/04/14,6,6,18.750189,-100.233961
Tejupilco,Las mesas bejucos,El mortero,29/08/14,16,16,18.752156,-100.419394
Amatepec,Pueblo Nuevo (San Lucas Pueblo Nuevo),La alcantarilla,19/10/13,4,4,18.752231,-100.301589
Amatepec,Pueblo Nuevo (San Lucas Pueblo Nuevo),La alcantarilla,23/09/05,1,1,18.752317,-100.306389
